trip_id,arrival_time,departure_time,stop_id,stop_sequence
22_B,00:03:00,00:03:00,22_8,4
22_B,00:04:00,00:04:00,22_10,5
22_B,00:05:00,00:05:00,22_12,6
22_B,00:06:00,00:06:00,22_14,7
22_B,00:07:00,00:07:00,22_16,8
22_B,00:08:00,00:08:00,22_18,9
22_B,00:09:00,00:09:00,22_20,10
22_B,00:10:00,00:10:00,22_22,11
22_B,00:11:00,00:11:00,22_24,12
22_B,00:12:00,00:12:00,22_26,13
22_B,00:13:00,00:13:00,22_28,14
22_B,00:14:00,00:14:00,22_30,15
22_B,00:15:00,00:15:00,22_32,16
22_B,00:16:00,00:16:00,22_34,17
23_A,00:00:00,00:00:00,23_1,1
23_A,00:01:00,00:01:00,23_3,2
23_A,00:02:00,00:02:00,23_5,3
23_A,00:03:00,00:03:00,23_7,4
23_A,00:04:00,00:04:00,23_9,5
23_A,00:05:00,00:05:00,23_11,6
23_A,00:06:00,00:06:00,23_13,7
23_A,00:07:00,00:07:00,23_15,8
23_A,00:08:00,00:08:00,23_17,9
23_A,00:09:00,00:09:00,23_19,10
23_A,00:10:00,00:10:00,23_21,11
23_A,00:11:00,00:11:00,23_23,12
23_A,00:12:00,00:12:00,23_25,13
23_A,00:13:00,00:13:00,23_27,14
23_A,00:14:00,00:14:00,23_29,15
23_B,00:00:00,00:00:00,23_2,1
23_B,00:01:00,00:01:00,23_4,2
23_B,00:02:00,00:02:00,23_6,3
23_B,00:03:00,00:03:00,23_8,4
23_B,00:04:00,00:04:00,23_10,5
23_B,00:05:00,00:05:00,23_12,6
23_B,00:06:00,00:06:00,23_14,7
23_B,00:07:00,00:07:00,23_16,8
23_B,00:08:00,00:08:00,23_18,9
23_B,00:09:00,00:09:00,23_20,10
23_B,00:10:00,00:10:00,23_22,11
23_B,00:11:00,00:11:00,23_24,12
23_B,00:12:00,00:12:00,23_26,13
23_B,00:13:00,00:13:00,23_28,14
24_A,00:00:00,00:00:00,24_1,1
24_A,00:01:00,00:01:00,24_3,2
24_A,00:02:00,00:02:00,24_5,3
24_A,00:03:00,00:03:00,24_7,4
24_A,00:04:00,00:04:00,24_9,5
24_A,00:05:00,00:05:00,24_11,6
24_A,00:06:00,00:06:00,24_13,7
24_A,00:07:00,00:07:00,24_15,8
24_A,00:08:00,00:08:00,24_17,9
24_A,00:09:00,00:09:00,24_19,10
24_A,00:10:00,00:10:00,24_21,11
24_A,00:11:00,00:11:00,24_23,12
24_A,00:12:00,00:12:00,24_25,13
24_A,00:13:00,00:13:00,24_27,14
24_A,00:14:00,00:14:00,24_29,15
24_A,00:15:00,00:15:00,24_31,16
24_B,00:00:00,00:00:00,24_2,1
24_B,00:01:00,00:01:00,24_4,2
24_B,00:02:00,00:02:00,24_6,3
24_B,00:03:00,00:03:00,24_8,4
24_B,00:04:00,00:04:00,24_10,5
24_B,00:05:00,00:05:00,24_12,6
24_B,00:06:00,00:06:00,24_14,7
24_B,00:07:00,00:07:00,24_16,8
24_B,00:08:00,00:08:00,24_18,9
24_B,00:09:00,00:09:00,24_20,10
24_B,00:10:00,00:10:00,24_22,11
24_B,00:11:00,00:11:00,24_24,12
24_B,00:12:00,00:12:00,24_26,13
24_B,00:13:00,00:13:00,24_28,14
24_B,00:14:00,00:14:00,24_30,15
24_B,00:15:00,00:15:00,24_32,16
34_A,00:00:00,00:00:00,34_1,1
34_A,00:01:00,00:01:00,34_3,2
34_A,00:02:00,00:02:00,34_5,3
34_A,00:03:00,00:03:00,34_7,4
34_A,00:04:00,00:04:00,34_9,5
34_A,00:05:00,00:05:00,34_11,6
34_A,00:06:00,00:06:00,34_13,7
34_A,00:07:00,00:07:00,34_15,8
34_A,00:08:00,00:08:00,34_17,9
34_A,00:09:00,00:09:00,34_19,10
34_A,00:10:00,00:10:00,34_21,11
34_A,00:11:00,00:11:00,34_23,12
34_A,00:12:00,00:12:00,34_25,13
34_A,00:13:00,00:13:00,34_27,14
34_A,00:14:00,00:14:00,34_29,15
34_B,00:00:00,00:00:00,34_2,1
34_B,00:01:00,00:01:00,34_4,2
34_B,00:02:00,00:02:00,34_6,3
34_B,00:03:00,00:03:00,34_8,4
34_B,00:04:00,00:04:00,34_10,5
34_B,00:05:00,00:05:00,34_12,6
34_B,00:06:00,00:06:00,34_14,7
34_B,00:07:00,00:07:00,34_16,8
34_B,00:08:00,00:08:00,34_18,9
34_B,00:09:00,00:09:00,34_20,10
34_B,00:10:00,00:10:00,34_22,11
34_B,00:11:00,00:11:00,34_24,12
34_B,00:12:00,00:12:00,34_26,13
34_B,00:13:00,00:13:00,34_28,14
35_A,00:00:00,00:00:00,35_1,1
35_A,00:01:00,00:01:00,35_3,2
35_A,00:02:00,00:02:00,35_5,3
35_A,00:03:00,00:03:00,35_7,4
35_A,00:04:00,00:04:00,35_9,5
35_A,00:05:00,00:05:00,35_11,6
35_A,00:06:00,00:06:00,35_13,7
35_A,00:07:00,00:07:00,35_15,8
35_B,00:00:00,00:00:00,35_2,1
35_B,00:01:00,00:01:00,35_4,2
35_B,00:02:00,00:02:00,35_6,3
35_B,00:03:00,00:03:00,35_8,4
35_B,00:04:00,00:04:00,35_10,5
35_B,00:05:00,00:05:00,35_12,6
35_B,00:06:00,00:06:00,35_14,7
35_B,00:07:00,00:07:00,35_16,8
36_A,00:00:00,00:00:00,36_1,1
36_A,00:01:00,00:01:00,36_3,2
36_A,00:02:00,00:02:00,36_5,3
36_A,00:03:00,00:03:00,36_7,4
36_A,00:04:00,00:04:00,36_9,5
36_A,00:05:00,00:05:00,36_11,6
36_A,00:06:00,00:06:00,36_13,7
36_A,00:07:00,00:07:00,36_15,8
36_A,00:08:00,00:08:00,36_17,9
36_A,00:09:00,00:09:00,36_19,10
36_A,00:10:00,00:10:00,36_21,11
36_A,00:11:00,00:11:00,36_23,12
36_A,00:12:00,00:12:00,36_25,13
36_A,00:13:00,00:13:00,36_27,14
36_B,00:00:00,00:00:00,36_2,1
36_B,00:01:00,00:01:00,36_4,2
36_B,00:02:00,00:02:00,36_6,3
36_B,00:03:00,00:03:00,36_8,4
36_B,00:04:00,00:04:00,36_10,5
36_B,00:05:00,00:05:00,36_12,6
36_B,00:06:00,00:06:00,36_14,7
36_B,00:07:00,00:07:00,36_16,8
36_B,00:08:00,00:08:00,36_18,9
36_B,00:09:00,00:09:00,36_20,10
36_B,00:10:00,00:10:00,36_22,11
36_B,00:11:00,00:11:00,36_24,12
36_B,00:12:00,00:12:00,36_26,13
36_B,00:13:00,00:13:00,36_28,14
37_A,00:00:00,00:00:00,37_1,1
37_A,00:01:00,00:01:00,37_3,2
37_A,00:02:00,00:02:00,37_5,3
37_A,00:03:00,00:03:00,37_7,4
37_A,00:04:00,00:04:00,37_9,5
37_A,00:05:00,00:05:00,37_11,6
37_A,00:06:00,00:06:00,37_13,7
37_A,00:07:00,00:07:00,37_15,8
37_A,00:08:00,00:08:00,37_17,9
37_A,00:09:00,00:09:00,37_19,10
37_A,00:10:00,00:10:00,37_21,11
37_A,00:11:00,00:11:00,37_23,12
37_A,00:12:00,00:12:00,37_25,13
37_A,00:13:00,00:13:00,37_27,14
37_A,00:14:00,00:14:00,37_29,15
37_A,00:15:00,00:15:00,37_31,16
37_A,00:16:00,00:16:00,37_33,17
37_A,00:17:00,00:17:00,37_35,18
37_B,00:00:00,00:00:00,37_2,1
37_B,00:01:00,00:01:00,37_4,2
37_B,00:02:00,00:02:00,37_6,3
37_B,00:03:00,00:03:00,37_8,4
37_B,00:04:00,00:04:00,37_10,5
37_B,00:05:00,00:05:00,37_12,6
37_B,00:06:00,00:06:00,37_14,7
37_B,00:07:00,00:07:00,37_16,8
37_B,00:08:00,00:08:00,37_18,9
37_B,00:09:00,00:09:00,37_20,10
37_B,00:10:00,00:10:00,37_22,11
37_B,00:11:00,00:11:00,37_24,12
37_B,00:12:00,00:12:00,37_26,13
37_B,00:13:00,00:13:00,37_28,14
37_B,00:14:00,00:14:00,37_30,15
37_B,00:15:00,00:15:00,37_32,16
37_B,00:16:00,00:16:00,37_34,17
37_B,00:17:00,00:17:00,37_36,18
38_A,00:00:00,00:00:00,38_1,1
38_A,00:01:00,00:01:00,38_3,2
38_A,00:02:00,00:02:00,38_5,3
38_A,00:03:00,00:03:00,38_7,4
38_A,00:04:00,00:04:00,38_9,5
38_A,00:05:00,00:05:00,38_11,6
38_A,00:06:00,00:06:00,38_13,7
38_A,00:07:00,00:07:00,38_15,8
38_A,00:08:00,00:08:00,38_17,9
38_A,00:09:00,00:09:00,38_19,10
38_A,00:10:00,00:10:00,38_21,11
38_A,00:11:00,00:11:00,38_23,12
38_A,00:12:00,00:12:00,38_25,13
38_A,00:13:00,00:13:00,38_27,14
38_A,00:14:00,00:14:00,38_29,15
38_A,00:15:00,00:15:00,38_31,16
38_A,00:16:00,00:16:00,38_33,17
38_A,00:17:00,00:17:00,38_35,18
38_A,00:18:00,00:18:00,38_37,19
38_A,00:19:00,00:19:00,38_39,20
38_A,00:20:00,00:20:00,38_41,21
38_B,00:00:00,00:00:00,38_2,1
38_B,00:01:00,00:01:00,38_4,2
38_B,00:02:00,00:02:00,38_6,3
38_B,00:03:00,00:03:00,38_8,4
38_B,00:04:00,00:04:00,38_10,5
38_B,00:05:00,00:05:00,38_12,6
38_B,00:06:00,00:06:00,38_14,7
38_B,00:07:00,00:07:00,38_16,8
38_B,00:08:00,00:08:00,38_18,9
38_B,00:09:00,00:09:00,38_20,10
38_B,00:10:00,00:10:00,38_22,11
38_B,00:11:00,00:11:00,38_24,12
38_B,00:12:00,00:12:00,38_26,13
38_B,00:13:00,00:13:00,38_28,14
38_B,00:14:00,00:14:00,38_30,15
38_B,00:15:00,00:15:00,38_32,16
38_B,00:16:00,00:16:00,38_34,17
38_B,00:17:00,00:17:00,38_36,18
38_B,00:18:00,00:18:00,38_38,19
38_B,00:19:00,00:19:00,38_40,20
38_B,00:20:00,00:20:00,38_42,21
39_A,00:00:00,00:00:00,39_1,1
39_A,00:01:00,00:01:00,39_3,2
39_A,00:02:00,00:02:00,39_5,3
39_A,00:03:00,00:03:00,39_7,4
39_A,00:04:00,00:04:00,39_9,5
39_A,00:05:00,00:05:00,39_11,6
39_A,00:06:00,00:06:00,39_13,7
39_A,00:07:00,00:07:00,39_15,8
39_A,00:08:00,00:08:00,39_17,9
39_A,00:09:00,00:09:00,39_19,10
39_A,00:10:00,00:10:00,39_21,11
39_A,00:11:00,00:11:00,39_23,12
39_A,00:12:00,00:12:00,39_25,13
39_A,00:13:00,00:13:00,39_27,14
39_A,00:14:00,00:14:00,39_29,15
39_A,00:15:00,00:15:00,39_31,16
39_A,00:16:00,00:16:00,39_33,17
39_A,00:17:00,00:17:00,39_35,18
39_A,00:18:00,00:18:00,39_37,19
39_B,00:00:00,00:00:00,39_2,1
39_B,00:01:00,00:01:00,39_4,2
39_B,00:02:00,00:02:00,39_6,3
39_B,00:03:00,00:03:00,39_8,4
39_B,00:04:00,00:04:00,39_10,5
39_B,00:05:00,00:05:00,39_12,6
39_B,00:06:00,00:06:00,39_14,7
39_B,00:07:00,00:07:00,39_16,8
39_B,00:08:00,00:08:00,39_18,9
39_B,00:09:00,00:09:00,39_20,10
39_B,00:10:00,00:10:00,39_22,11
39_B,00:11:00,00:11:00,39_24,12
39_B,00:12:00,00:12:00,39_26,13
39_B,00:13:00,00:13:00,39_28,14
39_B,00:14:00,00:14:00,39_30,15
39_B,00:15:00,00:15:00,39_32,16
39_B,00:16:00,00:16:00,39_34,17
39_B,00:17:00,00:17:00,39_36,18
39_B,00:18:00,00:18:00,39_38,19
42_A,00:00:00,00:00:00,42_1,1
42_A,00:01:00,00:01:00,42_3,2
42_A,00:02:00,00:02:00,42_5,3
42_A,00:03:00,00:03:00,42_7,4
42_A,00:04:00,00:04:00,42_9,5
42_A,00:05:00,00:05:00,42_11,6
42_A,00:06:00,00:06:00,42_13,7
42_A,00:07:00,00:07:00,42_15,8
42_A,00:08:00,00:08:00,42_17,9
42_A,00:09:00,00:09:00,42_19,10
42_A,00:10:00,00:10:00,42_21,11
42_A,00:11:00,00:11:00,42_23,12
42_A,00:12:00,00:12:00,42_25,13
42_A,00:13:00,00:13:00,42_27,14
42_A,00:14:00,00:14:00,42_29,15
42_A,00:15:00,00:15:00,42_31,16
42_A,00:16:00,00:16:00,42_33,17
42_A,00:17:00,00:17:00,42_35,18
42_A,00:18:00,00:18:00,42_37,19
42_A,00:19:00,00:19:00,42_39,20
42_A,00:20:00,00:20:00,42_41,21
42_A,00:21:00,00:21:00,42_43,22
42_A,00:22:00,00:22:00,42_45,23
42_B,00:00:00,00:00:00,42_2,1
42_B,00:01:00,00:01:00,42_4,2
42_B,00:02:00,00:02:00,42_6,3
42_B,00:03:00,00:03:00,42_8,4
42_B,00:04:00,00:04:00,42_10,5
42_B,00:05:00,00:05:00,42_12,6
42_B,00:06:00,00:06:00,42_14,7
42_B,00:07:00,00:07:00,42_16,8
42_B,00:08:00,00:08:00,42_18,9
42_B,00:09:00,00:09:00,42_20,10
42_B,00:10:00,00:10:00,42_22,11
42_B,00:11:00,00:11:00,42_24,12
42_B,00:12:00,00:12:00,42_26,13
42_B,00:13:00,00:13:00,42_28,14
42_B,00:14:00,00:14:00,42_30,15
42_B,00:15:00,00:15:00,42_32,16
42_B,00:16:00,00:16:00,42_34,17
42_B,00:17:00,00:17:00,42_36,18
42_B,00:18:00,00:18:00,42_38,19
42_B,00:19:00,00:19:00,42_40,20
42_B,00:20:00,00:20:00,42_42,21
42_B,00:21:00,00:21:00,42_44,22
44_A,00:00:00,00:00:00,44_1,1
44_A,00:01:00,00:01:00,44_3,2
44_A,00:02:00,00:02:00,44_5,3
44_A,00:03:00,00:03:00,44_7,4
44_A,00:04:00,00:04:00,44_9,5
44_A,00:05:00,00:05:00,44_11,6
44_A,00:06:00,00:06:00,44_13,7
44_A,00:07:00,00:07:00,44_15,8
44_A,00:08:00,00:08:00,44_17,9
44_A,00:09:00,00:09:00,44_19,10
44_A,00:10:00,00:10:00,44_21,11
44_A,00:11:00,00:11:00,44_23,12
44_A,00:12:00,00:12:00,44_25,13
44_A,00:13:00,00:13:00,44_27,14
44_B,00:00:00,00:00:00,44_2,1
44_B,00:01:00,00:01:00,44_4,2
44_B,00:02:00,00:02:00,44_6,3
44_B,00:03:00,00:03:00,44_8,4
44_B,00:04:00,00:04:00,44_10,5
44_B,00:05:00,00:05:00,44_12,6
44_B,00:06:00,00:06:00,44_14,7
44_B,00:07:00,00:07:00,44_16,8
44_B,00:08:00,00:08:00,44_18,9
44_B,00:09:00,00:09:00,44_20,10
44_B,00:10:00,00:10:00,44_22,11
44_B,00:11:00,00:11:00,44_24,12
44_B,00:12:00,00:12:00,44_26,13
44_B,00:13:00,00:13:00,44_28,14
45_A,00:00:00,00:00:00,45_1,1
45_A,00:01:00,00:01:00,45_3,2
45_A,00:02:00,00:02:00,45_5,3
45_A,00:03:00,00:03:00,45_7,4
45_A,00:04:00,00:04:00,45_9,5
45_A,00:05:00,00:05:00,45_11,6
45_A,00:06:00,00:06:00,45_13,7
45_A,00:07:00,00:07:00,45_15,8
45_A,00:08:00,00:08:00,45_17,9
45_A,00:09:00,00:09:00,45_19,10
45_A,00:10:00,00:10:00,45_21,11
45_A,00:11:00,00:11:00,45_23,12
45_A,00:12:00,00:12:00,45_25,13
45_A,00:13:00,00:13:00,45_27,14
45_A,00:14:00,00:14:00,45_29,15
45_B,00:00:00,00:00:00,45_2,1
45_B,00:01:00,00:01:00,45_4,2
45_B,00:02:00,00:02:00,45_6,3
45_B,00:03:00,00:03:00,45_8,4
45_B,00:04:00,00:04:00,45_10,5
45_B,00:05:00,00:05:00,45_12,6
45_B,00:06:00,00:06:00,45_14,7
45_B,00:07:00,00:07:00,45_16,8
45_B,00:08:00,00:08:00,45_18,9
45_B,00:09:00,00:09:00,45_20,10
45_B,00:10:00,00:10:00,45_22,11
45_B,00:11:00,00:11:00,45_24,12
45_B,00:12:00,00:12:00,45_26,13
45_B,00:13:00,00:13:00,45_28,14
45_B,00:14:00,00:14:00,45_30,15
49_A,00:00:00,00:00:00,49_1,1
49_A,00:01:00,00:01:00,49_3,2
49_A,00:02:00,00:02:00,49_5,3
49_A,00:03:00,00:03:00,49_7,4
49_A,00:04:00,00:04:00,49_9,5
49_A,00:05:00,00:05:00,49_11,6
49_A,00:06:00,00:06:00,49_13,7
49_A,00:07:00,00:07:00,49_15,8
49_A,00:08:00,00:08:00,49_17,9
49_A,00:09:00,00:09:00,49_19,10
49_A,00:10:00,00:10:00,49_21,11
49_A,00:11:00,00:11:00,49_23,12
49_A,00:12:00,00:12:00,49_25,13
49_A,00:13:00,00:13:00,49_27,14
49_A,00:14:00,00:14:00,49_29,15
49_B,00:00:00,00:00:00,49_2,1
49_B,00:01:00,00:01:00,49_4,2
49_B,00:02:00,00:02:00,49_6,3
49_B,00:03:00,00:03:00,49_8,4
49_B,00:04:00,00:04:00,49_10,5
49_B,00:05:00,00:05:00,49_12,6
49_B,00:06:00,00:06:00,49_14,7
49_B,00:07:00,00:07:00,49_16,8
49_B,00:08:00,00:08:00,49_18,9
49_B,00:09:00,00:09:00,49_20,10
49_B,00:10:00,00:10:00,49_22,11
49_B,00:11:00,00:11:00,49_24,12
49_B,00:12:00,00:12:00,49_26,13
49_B,00:13:00,00:13:00,49_28,14
49_B,00:14:00,00:14:00,49_30,15
55_A,00:00:00,00:00:00,55_1,1
55_A,00:01:00,00:01:00,55_3,2
55_A,00:02:00,00:02:00,55_5,3
55_A,00:03:00,00:03:00,55_7,4
55_A,00:04:00,00:04:00,55_9,5
55_A,00:05:00,00:05:00,55_11,6
55_A,00:06:00,00:06:00,55_13,7
55_A,00:07:00,00:07:00,55_15,8
55_A,00:08:00,00:08:00,55_17,9
55_A,00:09:00,00:09:00,55_19,10
55_A,00:10:00,00:10:00,55_21,11
55_A,00:11:00,00:11:00,55_23,12
55_A,00:12:00,00:12:00,55_25,13
55_A,00:13:00,00:13:00,55_27,14
55_A,00:14:00,00:14:00,55_29,15
55_A,00:15:00,00:15:00,55_31,16
55_A,00:16:00,00:16:00,55_33,17
55_A,00:17:00,00:17:00,55_35,18
55_A,00:18:00,00:18:00,55_37,19
55_A,00:19:00,00:19:00,55_39,20
55_A,00:20:00,00:20:00,55_41,21
55_A,00:21:00,00:21:00,55_43,22
55_A,00:22:00,00:22:00,55_45,23
55_A,00:23:00,00:23:00,55_47,24
55_B,00:00:00,00:00:00,55_2,1
55_B,00:01:00,00:01:00,55_4,2
55_B,00:02:00,00:02:00,55_6,3
55_B,00:03:00,00:03:00,55_8,4
55_B,00:04:00,00:04:00,55_10,5
55_B,00:05:00,00:05:00,55_12,6
55_B,00:06:00,00:06:00,55_14,7
55_B,00:07:00,00:07:00,55_16,8
55_B,00:08:00,00:08:00,55_18,9
55_B,00:09:00,00:09:00,55_20,10
55_B,00:10:00,00:10:00,55_22,11
55_B,00:11:00,00:11:00,55_24,12
55_B,00:12:00,00:12:00,55_26,13
55_B,00:13:00,00:13:00,55_28,14
55_B,00:14:00,00:14:00,55_30,15
55_B,00:15:00,00:15:00,55_32,16
55_B,00:16:00,00:16:00,55_34,17
55_B,00:17:00,00:17:00,55_36,18
55_B,00:18:00,00:18:00,55_38,19
55_B,00:19:00,00:19:00,55_40,20
55_B,00:20:00,00:20:00,55_42,21
55_B,00:21:00,00:21:00,55_44,22
55_B,00:22:00,00:22:00,55_46,23
55_B,00:23:00,00:23:00,55_48,24
56_A,00:00:00,00:00:00,56_1,1
56_A,00:01:00,00:01:00,56_3,2
56_A,00:02:00,00:02:00,56_5,3
56_A,00:03:00,00:03:00,56_7,4
56_A,00:04:00,00:04:00,56_9,5
56_A,00:05:00,00:05:00,56_11,6
56_A,00:06:00,00:06:00,56_13,7
56_A,00:07:00,00:07:00,56_15,8
56_A,00:08:00,00:08:00,56_17,9
56_A,00:09:00,00:09:00,56_19,10
56_A,00:10:00,00:10:00,56_21,11
56_A,00:11:00,00:11:00,56_23,12
56_A,00:12:00,00:12:00,56_25,13
56_A,00:13:00,00:13:00,56_27,14
56_A,00:14:00,00:14:00,56_29,15
56_A,00:15:00,00:15:00,56_31,16
56_A,00:16:00,00:16:00,56_33,17
56_A,00:17:00,00:17:00,56_35,18
56_A,00:18:00,00:18:00,56_37,19
56_A,00:19:00,00:19:00,56_39,20
56_A,00:20:00,00:20:00,56_41,21
56_B,00:00:00,00:00:00,56_2,1
56_B,00:01:00,00:01:00,56_4,2
56_B,00:02:00,00:02:00,56_6,3
56_B,00:03:00,00:03:00,56_8,4
56_B,00:04:00,00:04:00,56_10,5
56_B,00:05:00,00:05:00,56_12,6
56_B,00:06:00,00:06:00,56_14,7
56_B,00:07:00,00:07:00,56_16,8
56_B,00:08:00,00:08:00,56_18,9
56_B,00:09:00,00:09:00,56_20,10
56_B,00:10:00,00:10:00,56_22,11
56_B,00:11:00,00:11:00,56_24,12
56_B,00:12:00,00:12:00,56_26,13
56_B,00:13:00,00:13:00,56_28,14
56_B,00:14:00,00:14:00,56_30,15
56_B,00:15:00,00:15:00,56_32,16
56_B,00:16:00,00:16:00,56_34,17
56_B,00:17:00,00:17:00,56_36,18
56_B,00:18:00,00:18:00,56_38,19
56_B,00:19:00,00:19:00,56_40,20
57_A,00:00:00,00:00:00,57_1,1
57_A,00:01:00,00:01:00,57_3,2
57_A,00:02:00,00:02:00,57_5,3
57_A,00:03:00,00:03:00,57_7,4
57_A,00:04:00,00:04:00,57_9,5
57_A,00:05:00,00:05:00,57_11,6
57_A,00:06:00,00:06:00,57_13,7
57_A,00:07:00,00:07:00,57_15,8
57_A,00:08:00,00:08:00,57_17,9
57_A,00:09:00,00:09:00,57_19,10
57_A,00:10:00,00:10:00,57_21,11
57_A,00:11:00,00:11:00,57_23,12
57_A,00:12:00,00:12:00,57_25,13
57_A,00:13:00,00:13:00,57_27,14
57_A,00:14:00,00:14:00,57_29,15
57_A,00:15:00,00:15:00,57_31,16
